日期,场次,联赛,主队,客队,推荐,主胜%,平局%,客胜%,赔率,来源,情报
2026-09-06,周日001,日职,鹿岛鹿角,浦和红钻,主胜,52.4%,24.9%,22.7%,1.69,仅赔率,odds_only
2026-09-06,周日002,日职,名古屋鲸,町田泽维,客胜,28.7%,26.3%,44.9%,1.97,仅赔率,odds_only
2026-09-06,周日003,韩职,安养FC,江原FC,客胜,29.7%,28.5%,41.8%,2.12,仅赔率,odds_only
2026-09-06,周日004,韩职,金泉尚武,光州FC,主胜,60.6%,23.3%,16.1%,1.46,仅赔率,odds_only
2026-09-06,周日005,日职,东京FC,京都,主胜,59.9%,22.7%,17.4%,1.48,仅赔率,odds_only
2026-09-06,周日006,英冠,伯明翰,伍尔弗,客胜,34.8%,29.2%,36.0%,2.42,模型+赔率,partial
2026-09-06,周日007,荷甲,海伦芬,阿尔克马,客胜,22.7%,25.6%,51.7%,1.68,模型+赔率,full
2026-09-06,周日008,英超,埃弗顿,曼联,客胜,28.9%,26.9%,44.2%,1.92,模型+赔率,full
2026-09-06,周日009,意甲,弗洛西诺,威尼斯,客胜,34.8%,27.7%,37.5%,2.36,仅赔率,partial
2026-09-06,周日010,意甲,帕尔马,蒙扎,主胜,40.8%,30.6%,28.6%,2.17,仅赔率,partial
2026-09-06,周日011,法甲,特鲁瓦,斯特拉斯,客胜,30.2%,26.8%,43.0%,2.06,仅赔率,partial
2026-09-06,周日012,德甲,汉堡,美因茨,客胜,29.4%,26.2%,44.4%,2.33,模型+赔率,full
2026-09-06,周日013,西甲,巴伦西亚,巴萨,客胜,11.8%,20.7%,67.5%,1.18,模型+赔率,full
2026-09-06,周日014,葡超,圣克拉拉,里奥阿维,主胜,48.0%,30.4%,21.6%,1.77,模型+赔率,full
2026-09-06,周日015,挪超,莫尔德,奥斯KFUM,主胜,72.6%,15.6%,11.8%,1.22,仅赔率,odds_only
2026-09-06,周日016,英超,阿森纳,切尔西,主胜,65.0%,21.4%,13.6%,1.52,模型+赔率,full
2026-09-06,周日017,德甲,法兰克福,奥格斯堡,主胜,47.3%,24.7%,28.1%,1.75,模型+赔率,full
2026-09-06,周日018,意甲,博洛尼亚,萨索洛,主胜,45.7%,29.4%,24.8%,1.88,模型+赔率,full
2026-09-06,周日019,西甲,阿拉维斯,奥萨苏纳,主胜,46.8%,29.0%,24.1%,2.1,模型+赔率,full
2026-09-06,周日020,西甲,马拉加,莱万特,主胜,39.4%,28.1%,32.6%,2.25,仅赔率,partial
2026-09-06,周日021,意甲,尤文图斯,AC米兰,主胜,47.2%,29.8%,23.0%,1.87,模型+赔率,full
2026-09-06,周日022,法甲,马赛,巴黎FC,主胜,55.5%,25.4%,19.2%,1.61,模型+赔率,full
2026-09-06,周日023,西甲,西班牙人,塞维利亚,主胜,42.6%,29.8%,27.6%,2.05,模型+赔率,full
2026-09-06,周日024,巴甲,博塔弗戈,帕梅拉斯,客胜,28.6%,27.5%,43.9%,2.02,仅赔率,odds_only
