日期,场次,联赛,主队,客队,推荐,主胜%,平局%,客胜%,赔率,来源,情报
2026-09-11,周五001,日职,京都,柏太阳神,客胜,21.9%,23.9%,54.1%,1.65,仅赔率,odds_only
2026-09-11,周五002,沙职,哈马费萨,吉达联合,客胜,16.2%,21.3%,62.4%,1.43,仅赔率,odds_only
2026-09-11,周五003,德乙,纽伦堡,汉诺威96,主胜,38.4%,24.3%,37.4%,2.28,仅赔率,odds_only
2026-09-11,周五004,瑞超,赫根,米亚尔比,主胜,61.9%,20.8%,17.3%,1.42,仅赔率,odds_only
2026-09-11,周五006,荷乙,马斯特里,阿尔梅勒,客胜,30.6%,24.2%,45.1%,1.98,仅赔率,odds_only
2026-09-11,周五007,德甲,柏林联合,沙尔克04,主胜,39.1%,29.0%,31.9%,2.16,仅赔率,partial
2026-09-11,周五008,意甲,威尼斯,佛罗伦萨,客胜,32.3%,27.9%,39.8%,2.25,仅赔率,partial
2026-09-11,周五009,法甲,雷恩,马赛,主胜,53.2%,23.2%,23.6%,1.87,模型+赔率,full
2026-09-11,周五010,英冠,西汉姆联,雷克斯,主胜,61.9%,21.1%,17.0%,1.42,仅赔率,odds_only
2026-09-11,周五011,西甲,塞维利亚,巴伦西亚,主胜,50.2%,26.8%,23.0%,1.82,模型+赔率,full
2026-09-11,周五012,巴甲,科里蒂巴,巴竞技,客胜,27.7%,31.1%,41.3%,2.17,仅赔率,odds_only
